unique	title	level1	level2	words
329868534	多乐美地滑雪场-节假日2天（自带板）	1	3	多乐 美地 滑雪场 - 节假日 2 天 （ 自带 板 ）
329868532	多乐美地滑雪场-平日1.5天（含板）	1	1	多乐 美地 滑雪场 - 平日 1.5 天 （ 含 板 ）
329868531	多乐美地滑雪场-平日2天（含板）	1	1	多乐 美地 滑雪场 - 平日 2 天 （ 含 板 ）
329868529	多乐美地滑雪场-平日1天B类票（自带板）	1	1	多乐 美地 滑雪场 - 平日 1 天 B 类 票 （ 自带 板 ）
329868528	多乐美地滑雪场-周末4小时B类票（自带板）	1	2	多乐 美地 滑雪场 - 周末 4 小时 B 类 票 （ 自带 板 ）
329868526	多乐美地滑雪场-节假日4小时B类票（自带板）	1	3	多乐 美地 滑雪场 - 节假日 4 小时 B 类 票 （ 自带 板 ）
329868525	多乐美地滑雪场-节假日1天B类票（自带板）	1	3	多乐 美地 滑雪场 - 节假日 1 天 B 类 票 （ 自带 板 ）
329868523	多乐美地滑雪场-平日1天B类票（含板）	1	1	多乐 美地 滑雪场 - 平日 1 天 B 类 票 （ 含 板 ）
329868520	多乐美地滑雪场-节假日4小时B类票（含板）	1	3	多乐 美地 滑雪场 - 节假日 4 小时 B 类 票 （ 含 板 ）
329868519	多乐美地滑雪场-节假日全天B类票（含板）	1	3	多乐 美地 滑雪场 - 节假日 全天 B 类 票 （ 含 板 ）
329868517	多乐美地滑雪场-节假日1.5天（含板）	1	3	多乐 美地 滑雪场 - 节假日 1.5 天 （ 含 板 ）
329868516	多乐美地滑雪场-节假日2天（含板）	1	3	多乐 美地 滑雪场 - 节假日 2 天 （ 含 板 ）
329868514	多乐美地滑雪场-周末1.5天（含板）	1	2	多乐 美地 滑雪场 - 周末 1.5 天 （ 含 板 ）
329868513	多乐美地滑雪场-周末2天（含板）	1	2	多乐 美地 滑雪场 - 周末 2 天 （ 含 板 ）
332120756	【平日】沣峪庄园滑雪场成人票	1	1	【 平日 】 沣 峪 庄园 滑雪场 成人 票
336756111	[节假日]长春莲花山滑雪场全天滑雪票	1	3	[ 节假日 ] 长春 莲花山 滑雪场 全天 滑雪 票
332779912	[平日]云居滑雪场半天票	1	1	[ 平日 ] 云居 滑雪场 半天 票
337163658	和平滑雪场2小时滑雪票+马拉爬犁	2	4	和平 滑雪场 2 小时 滑雪 票 + 马拉 爬犁
336817546	【平日/周末】西安竹林畔滑雪场夜场成人票	1	4	【 平日 / 周末 】 西安 竹林 畔 滑雪场 夜场 成人 票
337220607	[节假日]温都水城半天滑雪票	1	3	[ 节假日 ] 温都水城 半天 滑雪 票
332131419	[平日]云顶滑雪场2天滑雪票（含索道+雪具）	2	4	[ 平日 ] 云顶 滑雪场 2 天 滑雪 票 （ 含 索道 + 雪具 ）
337159833	【周末】天燕滑雪场全天成人票	1	2	【 周末 】 天燕 滑雪场 全天 成人 票
337525033	木札岭速龙滑雪场成人票	1	4	木札岭 速龙 滑雪场 成人 票
337524217	【周末】照金滑雪场成人票（3小时）	1	2	【 周末 】 照 金 滑雪场 成人 票 （ 3 小时 ）
327576094	徐州大景山滑雪场3小时滑雪票	1	4	徐州 大 景山 滑雪场 3 小时 滑雪 票
333407999	[周末]狼牙山全天滑雪成人票	1	2	[ 周末 ] 狼牙山 全天 滑雪 成人 票
334698292	[平日]西柏坡滑雪场成人票	1	1	[ 平日 ] 西柏坡 滑雪场 成人 票
334771009	朱雀山滑雪场周末成人套票	1	2	朱雀山 滑雪场 周末 成人 套票
334770988	五家山滑雪场平日套票	1	1	五家山 滑雪场 平日 套票
337522724	【周末】照金滑雪场成人票（不限时）	1	2	【 周末 】 照 金 滑雪场 成人 票 （ 不限时 ）
337522723	【周末】照金滑雪场成人票（3小时）	1	2	【 周末 】 照 金 滑雪场 成人 票 （ 3 小时 ）
337522689	[节假日]七步沟滑雪全天成人票	1	3	[ 节假日 ] 七步 沟 滑雪 全天 成人 票
334066473	[周末/节假日]天桥沟滑雪成人票	1	4	[ 周末 / 节假日 ] 天桥沟 滑雪 成人 票
335435819	[节假日]太白山滑雪成人票	1	3	[ 节假日 ] 太白山 滑雪 成人 票
333400077	[周末]狼牙山全天滑雪成人票	1	2	[ 周末 ] 狼牙山 全天 滑雪 成人 票
337521254	【平日】木札岭速龙滑雪场双人票	1	1	【 平日 】 木札岭 速龙 滑雪场 双人 票
328770689	[节假日]五棵松滑雪场成人票	1	3	[ 节假日 ] 五棵松 滑雪场 成人 票
336471463	赵王欢乐谷滑雪场成人票	1	4	赵王 欢乐谷 滑雪场 成人 票
336486360	[平日/周末]庙香山滑雪场全天学生票	1	4	[ 平日 / 周末 ] 庙 香山 滑雪场 全天 学生票
332131418	[平日]云顶滑雪场4小时滑雪票（含索道+雪具）	2	4	[ 平日 ] 云顶 滑雪场 4 小时 滑雪 票 （ 含 索道 + 雪具 ）
336060032	[平日]藏马山滑雪场全天票	1	1	[ 平日 ] 藏 马山 滑雪场 全天 票
336082352	哈尔滨名都滑雪2小时票	1	4	哈尔滨 名都 滑雪 2 小时 票
333756755	哈尔滨名都滑雪场半天滑雪门票	1	4	哈尔滨 名都 滑雪场 半天 滑雪 门票
336096783	[春节]仿山滑雪场3小时票	1	3	[ 春节 ] 仿 山 滑雪场 3 小时 票
331864131	[周末]仿山滑雪场3小时票	1	2	[ 周末 ] 仿 山 滑雪场 3 小时 票
327577326	[元旦]仿山滑雪场3小时票	1	3	[ 元旦 ] 仿 山 滑雪场 3 小时 票
326928241	[周末]渔阳滑雪场6小时票+雪服柜子	2	4	[ 周末 ] 渔阳 滑雪场 6 小时 票 + 雪 服 柜子
336493282	和平滑雪场马拉爬犁【40分钟（5公里）】	3	4	和平 滑雪场 马拉 爬犁 【 40 分钟 （ 5 公里 ） 】
333454805	和平滑雪场4小时滑雪票	1	4	和平 滑雪场 4 小时 滑雪 票
337160495	【周末】照金滑雪场嬉雪区成人票（不限时）	1	2	【 周末 】 照 金 滑雪场 嬉 雪 区 成人 票 （ 不限时 ）
330057596	[周末]长春莲花山滑雪场3小时滑雪票	1	2	[ 周末 ] 长春 莲花山 滑雪场 3 小时 滑雪 票
337491154	[周末]莱芜雪野滑雪场4小时滑雪成人票	1	2	[ 周末 ] 莱芜 雪 野 滑雪场 4 小时 滑雪 成人 票
336755018	[平日]莱芜雪野滑雪场全天滑雪成人票	1	1	[ 平日 ] 莱芜 雪 野 滑雪场 全天 滑雪 成人 票
334399979	[节假日]莱芜雪野滑雪场4小时滑雪成人票	1	3	[ 节假日 ] 莱芜 雪 野 滑雪场 4 小时 滑雪 成人 票
327579107	莱芜雪野滑雪场季卡	4	4	莱芜 雪 野 滑雪场 季卡
336493373	呼兰河口冰雪乐园滑雪成人票	1	4	呼兰 河口 冰雪 乐园 滑雪 成人 票
335781820	呼兰河口冰雪乐园滑雪学生/军人票	1	4	呼兰 河口 冰雪 乐园 滑雪 学生 / 军人 票
330068302	[周末]怀北国际滑雪场全天票	1	2	[ 周末 ] 怀 北 国际 滑雪场 全天 票
332134651	[周末]朝阳庙子沟滑雪场成人票	1	2	[ 周末 ] 朝阳 庙子 沟 滑雪场 成人 票
336814104	亚布力滑雪马拉爬犁	3	4	亚布力 滑雪 马拉 爬犁
333455064	亚布力亚雪4小时滑雪票	1	4	亚布力 亚雪 4 小时 滑雪 票
329427967	亚布力滑雪场雪上乐园成人票	1	4	亚布力滑雪场 雪上 乐园 成人 票
325047953	亚布力亚雪2小时滑雪票	1	4	亚布力 亚雪 2 小时 滑雪 票
333758169	英杰欢乐王国门票+滑雪成人票	1	4	英杰 欢乐 王国 门票 + 滑雪 成人 票
336471722	[平日]大连将军石滑雪全天成人票	1	1	[ 平日 ] 大连 将军 石 滑雪 全天 成人 票
331854507	[周末]仿山滑雪场3小时票	1	2	[ 周末 ] 仿 山 滑雪场 3 小时 票
333081609	【冬季促销】九龙滑雪场+九龙温泉成人联票	2	4	【 冬季 促销 】 滑雪场 + 九龙 温泉 成人 联 票
332144594	九龙滑雪场+九龙温泉成人联票	2	4	滑雪场 + 九龙 温泉 成人 联 票
333759233	[周末]卧虎山滑雪全天票	1	2	[ 周末 ] 卧虎山 滑雪 全天 票
332133008	[周末]卧虎山滑雪全天票（含雪圈+雪船）	2	4	[ 周末 ] 卧虎山 滑雪 全天 票 （ 含 圈 + 雪 船 ）
334698382	[周末]五莲山滑雪场4小时票	1	2	[ 周末 ] 五莲山 滑雪场 4 小时 票
334698381	[周末]五莲山滑雪场2小时票	1	2	[ 周末 ] 五莲山 滑雪场 2 小时 票
335100281	[周末]朝阳七道岭滑雪场成人票	1	2	[ 周末 ] 朝阳 七 道 岭 滑雪场 成人 票
335413647	[周末联票]大门票+双程观光缆车+1小时滑雪儿童票	2	4	[ 周末 联 ] 大 门票 双程 观光 缆车 + 1 小时 滑雪 儿童 票
335413645	[周末联票]大门票+双程观光缆车+2小时滑雪儿童票	2	4	[ 周末 联 ] 大 门票 双程 观光 缆车 + 2 小时 滑雪 儿童 票
335413644	[周末联票]大门票+双程观光缆车+2小时滑雪成人票	2	4	[ 周末 联 ] 大 门票 双程 观光 缆车 + 2 小时 滑雪 成人 票
201343278	[周末]横道滑雪全天票	1	2	[ 周末 ] 横 道 滑雪 全天 票
336801360	[周末]上京国际滑雪场普通（全天）滑雪成人票	1	2	[ 周末 ] 上京 国际 滑雪场 普通 （ 全天 ） 滑雪 成人 票
101326428	[周末]西部长青滑雪场3小时成人票	1	2	[ 周末 ] 西部 长青 滑雪场 3 小时 成人 票
101280331	[周末]西部长青滑雪场全天成人票	1	2	[ 周末 ] 西部 长青 滑雪场 全天 成人 票
209168833	[周末]天山天池滑雪场成人票	1	2	[ 周末 ] 天山天池 滑雪场 成人 票
335770227	[周末]徂徕山滑雪场全天票	1	2	[ 周末 ] 徂徕山 滑雪场 全天 票
333459129	[平日]徂徕山滑雪场全天双人票	1	1	[ 平日 ] 徂徕山 滑雪场 全天 双人 票
332773390	[平日]徂徕山滑雪场全天票	1	1	[ 平日 ] 徂徕山 滑雪场 全天 票
330074387	[周末]徂徕山滑雪场全天三人票	1	2	[ 周末 ] 徂徕山 滑雪场 全天 三人 票
330074385	[周末]徂徕山滑雪场全天双人票	1	2	[ 周末 ] 徂徕山 滑雪场 全天 双人 票
337089295	沙湖滑雪场成人票	1	4	沙湖 滑雪场 成人 票
336472405	[平日]新立湖滑雪场欢乐谷成人票	1	1	[ 平日 ] 新 立 湖 滑雪场 欢乐谷 成人 票
336472404	[周末]新立湖滑雪场欢乐谷成人票	1	2	[ 周末 ] 新 立 湖 滑雪场 欢乐谷 成人 票
336134310	蓝调庄园滑雪场戏雪套票亲子票（1大1小）	1	4	蓝调 庄园 滑雪场 戏 雪 套票 亲子 票 （ 大 1 小 ）
334337890	[周末/节假日]蓝调滑雪场4小时温泉+4小时滑雪+自助餐	2	4	[ 周末 / 节假日 ] 蓝调 滑雪场 温泉 4 小时 滑雪 + 自助餐
329110427	【周末】安康必捷滑雪场不限时儿童票	1	2	【 周末 】 安康 必 捷 滑雪场 不限时 儿童 票
329110425	【周末】安康必捷滑雪场不限时成人票	1	2	【 周末 】 安康 必 捷 滑雪场 不限时 成人 票
337485498	【开业活动·1票进2人】夜场·大鸿寨滑雪场3小时成人票	1	4	【 开业 活动 1 进 2 人 】 夜场 · 大鸿寨 滑雪场 3 小时 成人 票
334071952	【周末】渭南必捷滑雪场不限时成人票	1	2	【 周末 】 渭南 必 捷 滑雪场 不限时 成人 票
329110546	【周末】渭南必捷滑雪场3小时成人票	1	2	【 周末 】 渭南 必 捷 滑雪场 3 小时 成人 票
336135362	【平日】延安必捷滑雪场儿童票（不限时）	1	1	【 平日 】 延安 必 捷 滑雪场 儿童 票 （ 不限时 ）
336487446	[周末]齐陵蓝溪国际滑雪场成人票	1	2	[ 周末 ] 齐陵 蓝 溪 国际 滑雪场 成人 票
336487443	[平日]齐陵蓝溪国际滑雪场3小时成人票	1	1	[ 平日 ] 齐陵 蓝 溪 国际 滑雪场 3 小时 成人 票
332119259	【平日/周末】九嵕山滑雪成人票（平日不限时/周末3小时）	1	4	【 】 九 嵕 山 滑雪 成人 票 （ 平日 不限时 / 周末 3 小时 ）
336488088	葫芦山庄滑雪场双人套票	1	4	葫芦山 庄 滑雪场 双人 套票
305375634	崂山北宅滑雪场文化山洞成人票	1	4	崂山 北 宅 滑雪场 文化 山洞 成人 票
337162673	[平日]莲花山滑雪场夜场票	1	1	[ 平日 ] 莲花山 滑雪场 夜场 票
329740464	莲花山滑雪夜场票	1	4	莲花山 滑雪 夜场 票
329740463	[周末]莲花山滑雪4小时滑雪票	1	2	[ 周末 ] 莲花山 4 小时 滑雪 票
335425802	双板单人室内滑雪单次体验	1	4	双 板 单人 室内 滑雪 单 次 体验
337158444	蓟州国际滑雪场4小时成人票	1	4	蓟州 国际 滑雪场 4 小时 成人 票
336488444	[平日]吉华滑雪2小时票	1	1	[ 平日 ] 吉华 滑雪 2 小时 票
333759023	[节假日]吉华滑雪3小时票	1	3	[ 节假日 ] 吉华 滑雪 3 小时 票
333759020	[平日]吉华滑雪8小时票	1	1	[ 平日 ] 吉华 滑雪 8 小时 票
333759017	[周末]吉华滑雪8小时票	1	2	[ 周末 ] 吉华 滑雪 8 小时 票
193981927	吉华滑雪3小时票（含餐）	2	4	吉华 滑雪 3 小时 票 （ 含餐 ）
330076581	[平日周末通用]万龙滑雪场3天滑雪票（含租板）	1	4	[ 平日 周末 通用 ] 万龙滑雪场 3 天 滑雪 票 （ 含 租 板 ）
336477565	呼兰河口冰雪乐园滑雪儿童/老人票	1	4	呼兰 河口 冰雪 乐园 滑雪 儿童 / 老人 票
335721152	呼兰河口冰雪乐园滑雪学生/军人票	1	4	呼兰 河口 冰雪 乐园 滑雪 学生 / 军人 票
330976480	[周末]八达岭滑雪全天票+龙庆峡冰灯	1	2	[ 周末 ] 八达岭 滑雪 全天 票 + 龙庆峡 冰灯
336827041	【平日】伏羲岭滑雪场成人票（平日不限时/周末3小时）	1	1	【 】 伏羲 岭 滑雪场 成人 票 （ 平日 不限时 / 周末 3 小时 ）
274967194	[平日]西部长青滑雪场夜场成人票	1	1	[ 平日 ] 西部 长青 滑雪场 夜场 成人 票
274967187	[平日]西部长青滑雪场全天成人票	1	1	[ 平日 ] 西部 长青 滑雪场 全天 成人 票
214486696	【周末】韩城晋公山滑雪场成人票	1	2	【 周末 】 韩城 晋公山 滑雪场 成人 票
330964348	七星岭滑雪成人票（1.5小时）	1	4	七星 岭 滑雪 成人 票 （ 1.5 小时 ）
328790065	[周末]蟠龙山滑雪场学生票	1	2	[ 周末 ] 蟠龙山 滑雪场 学生票
334071751	[节假日]太伟滑雪场4小时滑雪票	1	3	[ 节假日 ] 太伟 滑雪场 4 小时 滑雪 票
333459150	[周末]太伟滑雪场全天滑雪票	1	2	[ 周末 ] 太伟 滑雪场 全天 滑雪 票
330958512	[周末]太伟滑雪场2小时滑雪票	1	2	[ 周末 ] 太伟 滑雪场 2 小时 滑雪 票
336484122	帝景滑雪场成人票	1	4	帝 景 滑雪场 成人 票
335772304	[周末]万龙八易滑雪6小时票（含雪服+柜子）	2	4	[ 周末 ] 万龙 八 易 滑雪 6 小时 票 （ 含 雪 服 + 柜子 ）
335429103	[周末]万龙八易滑雪夜场票（含雪具+柜子）	2	4	[ 周末 ] 万龙 八 易 滑雪 夜场 票 （ 含 雪具 + 柜子 ）
335429100	[周末]万龙八易滑雪6小时票	1	2	[ 周末 ] 万龙 八 易 滑雪 6 小时 票
333755951	泾川滑雪场畅享滑雪套票	1	4	泾川 滑雪场 畅享 滑雪 套票
333077203	泾川滑雪场尊享滑雪套票	1	4	泾川 滑雪场 尊 享 滑雪 套票
335771742	【周末】青海总寨奥斯陆滑雪场成人套票	1	2	【 周末 】 青海 总 寨 奥斯陆 滑雪场 成人 套票
335771741	青海总寨奥斯陆滑雪场不限时成人票	1	4	青海 总 寨 奥斯陆 滑雪场 不限时 成人 票
332421909	沣峪庄园滑雪场+东大南山温泉成人联票	2	4	沣 峪 庄园 滑雪场 + 东大 南山 温泉 成人 联 票
336135356	【周末】西夏风情园滑雪场夜场成人票	1	2	【 周末 】 西夏 风情园 滑雪场 夜场 成人 票
335424976	松鸣岩国际滑雪场滑雪套票	1	4	松鸣岩 国际 滑雪场 滑雪 套票
335433637	【平日】神农架国际滑雪场+全天双板滑雪票	1	1	【 平日 】 神农架 国际 滑雪场 + 全天 双 板 滑雪 票
336486694	华南城滑雪夜场成人票	1	4	华南城 滑雪 夜场 成人 票
333457682	华南城滑雪成人票	1	4	华南城 滑雪 成人 票
333393041	鸣翠湖滑雪场亲子滑雪套票（两大一小）	1	4	鸣 翠湖 滑雪场 亲子 滑雪 套票 （ 两大 一 小 ）
330969346	鸣翠湖滑雪场滑雪2小时亲子票（2大1小）	1	4	鸣 翠湖 滑雪场 滑雪 小时 亲子 票 （ 2 大 1 小 ）
335428862	[平日]太舞滑雪场1天滑雪套票（含索道+雪具）	2	4	[ 平日 ] 太 舞 滑雪场 1 天 滑雪 套票 （ 含 索道 + 雪具 ）
335428859	[周末]太舞滑雪场1.5天滑雪票（含索道）	2	4	[ 周末 ] 太 舞 滑雪场 1.5 天 滑雪 票 （ 含 索道 ）
335428856	[周末]太舞滑雪场2天滑雪套票（含索道+雪具）	2	4	[ 周末 ] 太 舞 滑雪场 2 天 滑雪 套票 （ 含 索道 + 雪具 ）
335428855	[周末]太舞滑雪场1.5天滑雪套票（含索道+雪具）	2	4	[ 周末 ] 太 舞 滑雪场 1.5 天 滑雪 套票 （ 含 索道 + 雪具 ）
333020888	[平日]太舞滑雪场4小时滑雪套票（含索道+雪具）	2	4	[ 平日 ] 太 舞 滑雪场 4 小时 滑雪 套票 （ 含 索道 + 雪具 ）
335428854	[周末]太舞滑雪场1天滑雪套票（含索道+雪具）	2	4	[ 周末 ] 太 舞 滑雪场 1 天 滑雪 套票 （ 含 索道 + 雪具 ）
337482997	[平日]九顶塔滑雪场平日票	1	1	[ ] 九顶塔 滑雪场 平日 票
337482996	[周末]九顶塔滑雪场周末票	1	2	[ ] 九顶塔 滑雪场 周末 票
337482876	[周一活动票]云佛滑雪场全天成人票（含餐）	2	4	[ 周一 活动 ] 云 佛 滑雪场 全天 成人 票 （ 含餐 ）
337482873	[平日]云佛滑雪场4小时成人票（含餐）	2	4	[ 平日 ] 云 佛 滑雪场 4 小时 成人 票 （ 含餐 ）
337482872	[周五活动票]云佛滑雪场全天成人票	1	4	[ 周五 活动 ] 云 佛 滑雪场 全天 成人 票
337482870	[周四活动票]云佛滑雪场全天成人票	1	4	[ 周四 活动 ] 云 佛 滑雪场 全天 成人 票
337482869	[周末]云佛滑雪场全天成人票（含餐）	2	4	[ 周末 ] 云 佛 滑雪场 全天 成人 票 （ 含餐 ）
337482866	[周二活动票]云佛滑雪场全天成人票	1	4	[ 周二 活动 ] 云 佛 滑雪场 全天 成人 票
337482864	[节假日]云佛滑雪场4小时成人票	1	3	[ 节假日 ] 云 佛 滑雪场 4 小时 成人 票
337482863	[周末]云佛滑雪场4小时成人票	1	2	[ 周末 ] 云 佛 滑雪场 4 小时 成人 票
337482861	[平日]云佛滑雪场全天成人票	1	1	[ 平日 ] 云 佛 滑雪场 全天 成人 票
337482860	[平日]云佛滑雪场4小时成人票	1	1	[ 平日 ] 云 佛 滑雪场 4 小时 成人 票
334748774	亚布力好汉岭滑雪场2小时门票+雪服+雪镜	2	4	亚布力 好汉 岭 滑雪场 2 小时 门票 服 + 雪 镜
333460245	威虎山滑雪场入园成人票	1	4	威虎山 滑雪场 入园 成人 票
336826015	[周末]云顶滑雪场2天滑雪票（含索道+雪具）	2	4	[ 周末 ] 云顶 滑雪场 2 天 滑雪 票 （ 含 索道 + 雪具 ）
334750622	[周末]云顶滑雪场2天索道成人票（自带雪具）	1	2	[ 周末 ] 云顶 滑雪场 2 天 索道 成人 票 （ 自带 雪具 ）
334750618	[周末]云顶滑雪场下午4小时滑雪票（含索道+雪具）	2	4	[ 周末 ] 云顶 滑雪场 下午 4 小时 滑雪 票 （ 含 索道 + 雪具 ）
326269174	[周末]云顶滑雪场1天索道成人票（自带雪具）	1	2	[ 周末 ] 云顶 滑雪场 1 天 索道 成人 票 （ 自带 雪具 ）
335428217	[周末]灵珠山滑雪场3小时滑雪票	1	2	[ 周末 ] 灵 珠山 滑雪场 3 小时 滑雪 票
333458148	玉泉北极滑雪全天成人票	1	4	玉泉 北极 滑雪 全天 成人 票
333458147	玉泉北极滑雪全天成人票（含餐）	2	4	玉泉 北极 滑雪 全天 成人 票 （ 含餐 ）
337482451	[平日]太行风情滑雪场成人票	1	1	[ 平日 ] 太行 风情 滑雪场 成人 票
284744578	[周末]绿水尖滑雪场1小时成人票	1	2	[ 周末 ] 绿水 尖 滑雪场 1 小时 成人 票
336137955	【节假日】老界岭滑雪4小时成人票	1	3	【 节假日 】 老 界 岭 滑雪 4 小时 成人 票
336051995	【平日】老界岭滑雪3小时成人票	1	1	【 平日 】 老 界 岭 滑雪 3 小时 成人 票
316901681	浙江天鹅堡滑雪场成人票（周末）	1	2	浙江 天鹅堡 滑雪场 成人 票 （ 周末 ）
325368754	西部长青室内滑雪馆-周末滑雪票（夜场）	1	2	西部 长青 室内 馆 - 周末 滑雪 票 （ 夜场 ）
336498021	天龙池滑雪场2小时成人票	1	4	天龙 池 滑雪场 2 小时 成人 票
335098085	[周末]清凉山滑雪场全天成人票	1	2	[ 周末 ] 清凉山 滑雪场 全天 成人 票
325029496	[平日]南山滑雪场全天滑雪票	1	1	[ 平日 ] 南山 滑雪场 全天 滑雪 票
325029495	[平日]南山滑雪场半天滑雪票	1	1	[ 平日 ] 南山 滑雪场 半天 滑雪 票
333754782	【普通滑具】伏牛山滑雪场8小时滑雪成人票	1	4	【 普通 滑 具 】 伏牛山滑雪场 8 小时 滑雪 成人 票
336486047	【普通滑具】伏牛山滑雪场2小时滑雪成人票	1	4	【 普通 滑 具 】 伏牛山滑雪场 2 小时 滑雪 成人 票
333754780	【普通滑具】伏牛山滑雪场3小时滑雪成人票	1	4	【 普通 滑 具 】 伏牛山滑雪场 3 小时 滑雪 成人 票
336827799	【平日】照金滑雪场成人票（不限时）	1	1	【 平日 】 照 金 滑雪场 成人 票 （ 不限时 ）
320074367	照金滑雪场VIP季卡	4	4	照 金 滑雪场 VIP 季卡
337481493	小马驹滑雪场成人票	1	4	小马驹 滑雪场 成人 票
336814287	[周五活动票]云佛滑雪场全天成人票	1	4	[ 周五 活动 ] 云 佛 滑雪场 全天 成人 票
336814286	[周四活动票]云佛滑雪场全天成人票	1	4	[ 周四 活动 ] 云 佛 滑雪场 全天 成人 票
336814284	[周二活动票]云佛滑雪场全天成人票	1	4	[ 周二 活动 ] 云 佛 滑雪场 全天 成人 票
336121068	[周一活动票]云佛滑雪场全天成人票	1	4	[ 周一 活动 ] 云 佛 滑雪场 全天 成人 票
335413893	[节假日]云佛滑雪场4小时成人票（含餐）	2	4	[ 节假日 ] 云 佛 滑雪场 4 小时 成人 票 （ 含餐 ）
335413889	[平日]云佛滑雪场4小时成人票（含餐）	2	4	[ 平日 ] 云 佛 滑雪场 4 小时 成人 票 （ 含餐 ）
333454226	[节假日]云佛滑雪场4小时成人票	1	3	[ 节假日 ] 云 佛 滑雪场 4 小时 成人 票
333076561	[平日]云佛滑雪场全天成人票（含餐）	2	4	[ 平日 ] 云 佛 滑雪场 全天 成人 票 （ 含餐 ）
333076556	[周末]云佛滑雪场4小时成人票（含餐）	2	4	[ 周末 ] 云 佛 滑雪场 4 小时 成人 票 （ 含餐 ）
329728356	[节假日]云佛滑雪场全天成人票	1	3	[ 节假日 ] 云 佛 滑雪场 全天 成人 票
329728351	[平日]云佛滑雪场4小时成人票	1	1	[ 平日 ] 云 佛 滑雪场 4 小时 成人 票
337415442	[周末]亚布洛尼滑雪场全天滑雪票	1	2	[ 周末 ] 亚 布洛 尼 滑雪场 全天 滑雪 票
334687073	[平日]朝阳公园亚布洛尼滑雪场滑雪10次卡	5	4	[ 平日 ] 朝阳公园 亚 布洛 尼 滑雪场 滑雪 10 次卡
335102647	百里荒景区周末全天双板滑雪成人票(含大门票)	1	2	百里荒 景区 周末 全天 双 板 滑雪 成人 票 ( 含 大 门票 )
337154874	[周末]七步沟滑雪全天成人票	1	2	[ 周末 ] 七步 沟 滑雪 全天 成人 票
336812886	东风湖滑雪场夜场小套票（本溪身份不可用）	1	4	东风 湖 滑雪场 夜场 小 套票 （ 本溪 身份 不可用 ）
334331771	东风湖滑雪场滑雪票	1	4	东风 湖 滑雪场 滑雪 票
336472613	西夏风情园滑雪A套票	1	4	西夏 风情园 滑雪 A 套票
336764994	龙水凤港生态农场观光票+冰雪嘉年华滑雪亲子套票（1大1小）	1	4	龙 水凤 港 生态 农场 观光 票 + 冰雪 嘉年华 滑雪 亲子 套票 （ 大 1 小 ）
334342005	[平日]蓝调滑雪场4小时温泉+4小时滑雪+自助餐	2	4	[ 平日 ] 蓝调 滑雪场 温泉 4 小时 滑雪 + 自助餐
334342004	[周末/节假日]蓝调滑雪场4小时温泉+4小时滑雪+自助餐	2	4	[ 周末 / 节假日 ] 蓝调 滑雪场 温泉 4 小时 滑雪 + 自助餐
